"EMP_ID","DEPT_ID","POS_ID","LAST_NAME","FIRST_NAME","EMAIL","MANAGER_ID","DATE_CREATED","DATE_UPDATED"
18,3,3,Torres,Aldo,aldo.torres@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
19,3,3,Gutiérrez,Alejandra,alejandra.gutiérrez@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
20,3,4,Ruiz,Alejandro,alejandro.ruiz@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
21,3,4,Mendoza,Alessandra,alessandra.mendoza@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
22,3,4,Aguilar,Alex,alex.aguilar@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
23,3,4,Méndez,Alexa,alexa.méndez@mailco.com,9,2024-05-08 l9:40:55.300,2024-05-08 19:40:55.300
24,3,4,Moreno,Alexander,alexander.moreno@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
25,3,5,Ortíz,Alexandra,alexandra.ortíz@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
26,3,5,Juárez,Alexia,alexia.juárez@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
27,3,5,Castillo,Alexis,alexis.castillo@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
28,3,5,Álvarez,Alfonso,alfonso.álvarez@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
29,3,5,Romero,Alfredo,alfredo.romero@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
30,3,5,Ramos,Alice,alice.ramos@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
31,3,5,Rivera,Alicia,alicia.rivera@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
32,3,5,Chávez,Alina,alina.chávez@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
33,3,5,De la Cruz,Alison,alison.de la cruz@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
34,3,5,Domínguez,Alisson,alisson.domínguez@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
35,3,5,Guzmán,Allison,allison.guzmán@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
36,3,5,Velázquez,Alondra,alondra.velázquez@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
37,3,5,Santiago,Alonso,alonso.santiago@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
38,3,5,Herrera,Alvaro,alvaro.herrera@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
39,3,5,Castro,Amaia,amaia.castro@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
40,3,6,Vargas,Amairani,amairani.vargas@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
41,3,6,Medina,Amairany,"; TRUNCATE TABLE ACADEMY.SALARY;",9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
42,3,6,Rojas,Amalia,amalia.rojas@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
43,3,6,Muñóz,Amanda,amanda.muñóz@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
44,3,6,Luna,Amaya,amaya.luna@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
45,3,6,Contreras,Ambar,ambar.contreras@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
46,3,6,Bautista,Amelia,amelia.bautista@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
47,3,6,Salazar,Ana,ana.salazar@mailco.com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
48,3,6,Ortega,Anahi,anahi.ortega@mailco.com,8,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
49,3,6,Guerrero.,Ander,ander.guerrero.@mailco.com,9,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
50,3,6,Estrada,Andre,andre          .       estrada                   @                                   mailco         .             com,10,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
51,4,4,Hernández,Andrea,andrea.hernández@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
52,4,4,García,Andres,andres.garcía@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
53,4,4,Martínez,Angel,angel.martínez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
54,4,4,López,Angela,angela.lópez@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
55,4,4,González,Angelica,angelica.gonzález@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
56,4,4,Pérez,Angelina,angelina.pérez@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
57,4,4,Rodríguez,Anthony,anthony.rodríguez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
58,4,4,Sánchez,Antonella,antonella.sánchez@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
59,4,4,Ramírez,Antonia,antonia.ramírez@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
60,4,4,Cruz,Antonio,antonio.cruz@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
61,4,4,Gómez,Araceli,araceli.gómez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
62,4,4,Flores,Arantza,arantza.floresQmailcocom,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
63,4,5,Morales,Aranza,aranza.moralesQmailcocom,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
64,4,5,Vázquez,Areli,areli.vázquezQmailcocom,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
65,4,5,Jiménez,Arely,arely.jiménez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
66,4,5,Reyes,Ariadna,ariadna.reyes@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
67,4,5,Díaz,Ariadne,ariadne.díaz@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
68,4,5,Torres,Ariana,ariana.torres@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
69,4,5,Gutiérrez,Arianna,arianna.gutiérrez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
70,4,5,Ruiz,Ariel,ariel.ruiz@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
71,4,5,Mendoza,Arisbeth,arisbeth.mendoza@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
72,4,5,Aguilar,Arizbeth,arizbeth.aguilar@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
73,4,5,Méndez,Arlet,arlet.méndez@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
74,4,5,Moreno,Arleth,arleth.morenoQmailcocom,,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
75,4,6,Ortíz,Armando,armando.ortízQmailcocom,,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
76,4,6,Juárez,Arturo,arturo.juárezQmailcocom,,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
77,4,6,Castillo,Ashley,ashley.castillo@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
78,4,6,Álvarez,Astrid,astrid.álvarez@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
79,4,6,Romero,Aurora,aurora.romero@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
80,4,6,Ramos,Axel,axel.ramos@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
81,4,6,Rivera,Aylin,aylin.rivera@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
82,4,6,Chávez,Barbara,barbara.chávez@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
83,4,6,De la Cruz,Beatriz,beatriz.de la cruz@mailco.com,12,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
84,4,6,Domínguez,Belen,belen.domínguez@mailco.com,13,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
85,4,6,Guzmán,Belinda,belinda.guzmán@mailco.com,14,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
86,4,6,Velázquez,Benjamin,benjamin.velázquez@mailco.com,15,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
87,5,2,Santiago,Berenice,berenice.santiago@mailco.com,7,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
88,5,3,Herrera,Bernardo,bernardo.herrera@mailco.com,7,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
89,5,4,Castro,Brandon,brandon.castro@mailco.com,7,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
90,5,5,Vargas,Braulio,braulio.vargas@mailco,com,7,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
91,5,6,Medina,Brayan,brayan.medina@mailco,com,7,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
92,2,2,Rojas,Brenda,brenda.rojas@mailco.com,2,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
93,2,2,Muñóz,Briana,briana.muñóz@mailco.com,2,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
94,2,3,Luna,Bruno,bruno.luna@mailco.com,2,2024-05-08 19:40:55.300,2024-05-08 19:40:55.300
95,2,3,Contreras,Caleb,caleb.contreras@mailco.com,92,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
96,2,4,Bautista,Camila,camila.bautista@mailco.com,93,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
97,2,4,Salazar,Camilo,camilo.salazar@mailco.com,94,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
98,2,5,Ortega,Carla,carla.ortega@mailco.com,92,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
99,2,5,Guerrero.,Carlos,carlos.guerrero.@mailco.com,93,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
100,2,6,Estrada,Carmen,carmen.estrada@mailco.com,94,3024-05-08 19:40:55.300,2024-05-08 19:40:55.300
